fir_number,date_reported,year,city,state,primary_crime_type,description,ipc_section,location_type,beat_zone,victim_age,victim_gender,arrest_made,case_status,severity,latitude,longitude,law_type,ipc_final,hour,day_of_week,age_group
fir/ahm/2019/8193,2019-01-06 16:24:00,2019,Ahmedabad,Gujarat,ATTEMPT TO MURDER,stabbing,307 IPC,street,20,76,male,False,charge sheeted,high,22.99273780381956,72.68490821149948,IPC,IPC 307,16,Sunday,65+
FIR/JAI/2020/9990,2020-01-01 00:00:00,2020,Jaipur,Rajasthan,ROBBERY,armed robbery,IPC-392,unknown,38,10,female,False,convicted,high,26.875469275550987,75.74732612258789,IPC,IPC 392,0,Wednesday,Under 18
1322/2023,2023-01-04 19:11:00,2023,Delhi,Delhi,EXTORTION,threatening,Sec 383,bank,9,23,male,False,acquitted,medium,28.572578014133384,77.14559885447329,IPC,IPC 383,19,Wednesday,18-25
3267/2018,2018-11-09 00:00:00,2018,Bangalore,Karnataka,CYBER CRIME,hacking,IT ACT 66,street,2,21,female,False,charge sheeted,low,12.937971063389188,77.46556256613208,IT,IT 66,0,Friday,18-25
7347/2018,2018-01-07 00:00:00,2018,Mumbai,Maharashtra,RAPE/SEXUAL ASSAULT,rape,376 IPC,street,23,68,male,False,pending trial,high,18.97118734553868,72.93517346244585,IPC,IPC 376,0,Sunday,65+
FIR/AHM/2022/3600,2022-09-21 22:56:00,2022,Ahmedabad,Gujarat,ASSAULT,grievous hurt,IPC 352,bank,4,58,female,False,charge sheeted,medium,22.94121428365162,72.62343777086534,IPC,IPC 352,22,Wednesday,51-65
HYD-2023-8346,2023-03-15 03:52:00,2023,Hyderabad,Telangana,BURGLARY,house breaking,ipc 457,bank,35,76,female,False,acquitted,medium,17.416224465965886,78.36757643261849,IPC,IPC 457,3,Wednesday,65+
5547/2023,2023-10-28 00:00:00,2023,Chennai,Tamil Nadu,ROBBERY,armed robbery,ipc 392,office,26,42,male,False,closed,high,13.098328652993128,80.2077034563248,IPC,IPC 392,0,Saturday,36-50
FIR49492017,2017-06-08 00:21:00,2017,Mumbai,Maharashtra,DACOITY,armed dacoity,Sec 395,street,26,57,female,False,under investigation,high,19.01539153898366,72.77393498231362,IPC,IPC 395,0,Thursday,51-65
fir/ban/2023/2518,2023-01-01 00:00:00,2023,Bangalore,Karnataka,ROBBERY,bank robbery,ipc 392,office,30,55,female,False,charge sheeted,high,12.824014212961025,77.4611884024642,IPC,IPC 392,0,Sunday,51-65
FIR/HYD/2019/3340,2019-08-25 10:22:00,2019,Hyderabad,Telangana,FRAUD/CHEATING,upi fraud,420,street,10,9,unknown,False,closed,low,17.50517464439605,78.54455974561368,IPC,IPC 420,10,Sunday,Under 18
FIR/CHE/2015/2890,2015-01-14 06:29:00,2015,Chennai,Tamil Nadu,THEFT,chain snatching,Sec 378,bank,40,43,male,False,closed,low,13.007031997176398,80.17918269716142,IPC,IPC 378,6,Wednesday,36-50
6182/2016,2016-01-01 00:00:00,2016,Ahmedabad,Gujarat,CYBER CRIME,identity theft,Sec 66 IT Act,market,29,12,unknown,True,convicted,low,22.96182152591816,72.65767036697277,IT,IT 66,0,Friday,Under 18
fir/ban/2022/2003,2022-12-23 00:00:00,2022,Bangalore,Karnataka,RIOTING,political violence,147 IPC,market,46,79,male,True,closed,medium,13.120691030322805,77.53502663833916,IPC,IPC 147,0,Friday,65+
5117/2023,2023-10-03 18:33:00,2023,Hyderabad,Telangana,FRAUD/CHEATING,online fraud,IPC-420,bank,14,56,male,False,convicted,low,17.40127593176223,78.4537706433497,IPC,IPC 420,18,Tuesday,51-65
fir/bho/2018/5693,2018-05-13 03:19:00,2018,Bhopal,Madhya Pradesh,DOMESTIC VIOLENCE,mental cruelty,498-A IPC,school,15,28,female,True,charge sheeted,medium,23.359892366454687,77.53723358799338,IPC,IPC 498,3,Sunday,26-35
FIR/KOL/2019/2825,2019-07-02 19:20:00,2019,Kolkata,West Bengal,DRUG OFFENSE,trafficking,Sec 20 NDPS,unknown,25,52,female,False,under investigation,low,22.45771803697148,88.48602748657572,NDPS,NDPS 20,19,Tuesday,51-65
NAG-2017-3401,2017-08-28 05:34:00,2017,Nagpur,Maharashtra,THEFT,mobile theft,IPC-378,school,7,57,male,False,charge sheeted,low,21.18952159267987,78.95835354453628,IPC,IPC 378,5,Monday,51-65
6167/2017,2017-05-31 01:00:00,2017,Bangalore,Karnataka,ROBBERY,bank robbery,IPC 392,market,41,68,female,False,pending trial,high,12.991359004964568,77.69705952102872,IPC,IPC 392,1,Wednesday,65+
FIR/KOL/2023/5625,2023-10-05 05:09:00,2023,Kolkata,West Bengal,BURGLARY,shop breaking,457 IPC,office,48,33,female,False,acquitted,medium,22.57216104833404,88.27768460900569,IPC,IPC 457,5,Thursday,26-35
fir/cha/2018/1833,2018-10-17 15:54:00,2018,Chandigarh,Punjab,BURGLARY,house breaking,IPC 457,office,38,24,male,False,under investigation,medium,30.702931779590863,76.81044289692375,IPC,IPC 457,15,Wednesday,18-25
FIR/DEL/2018/4930,2018-05-29 01:18:00,2018,Delhi,Delhi,DRUG OFFENSE,possession,NDPS ACT Sec 8,office,25,22,unknown,False,charge sheeted,low,28.75238389757536,77.02367508776342,NDPS,NDPS 8,1,Tuesday,18-25
FIR89542018,2018-05-12 04:54:00,2018,Mumbai,Maharashtra,ROBBERY,unarmed robbery,392 IPC,market,49,45,male,False,under investigation,high,19.133917029135898,73.00620854818952,IPC,IPC 392,4,Saturday,36-50
FIR/KAN/2019/9505,2019-08-20 15:04:00,2019,Kanpur,Uttar Pradesh,FRAUD/CHEATING,online fraud,420 IPC,office,46,73,female,False,charge sheeted,low,26.42665057341473,80.25515711247515,IPC,IPC 420,15,Tuesday,65+
FIR42092018,2018-12-04 07:43:00,2018,Hyderabad,Telangana,THEFT,shoplifting,IPC-378,bank,30,9,male,False,charge sheeted,low,17.379860557453032,78.45095857640447,IPC,IPC 378,7,Tuesday,Under 18
fir/che/2016/2988,2016-04-16 03:06:00,2016,Chennai,Tamil Nadu,BURGLARY,shop breaking,457 IPC,street,25,37,female,False,pending trial,medium,13.059154206946404,80.32777173780501,IPC,IPC 457,3,Saturday,36-50
8917/2017,2017-05-09 09:57:00,2017,Kolkata,West Bengal,FRAUD/CHEATING,online fraud,420,highway,14,41,unknown,True,closed,low,22.59213418980394,88.31022704853163,IPC,IPC 420,9,Tuesday,36-50
FIR/SUR/2023/5505,2023-09-25 23:40:00,2023,Surat,Gujarat,ASSAULT,simple assault,Sec. 351,market,13,42,female,False,charge sheeted,medium,21.28403364040452,72.7070592321151,IPC,IPC 351,23,Monday,36-50
CHA-2018-2561,2018-09-12 03:05:00,2018,Chandigarh,Punjab,RAPE/SEXUAL ASSAULT,sexual assault,POCSO Act,street,48,13,female,False,under investigation,high,30.68361611630142,76.64484655394058,POCSO,POCSO,3,Wednesday,Under 18
CHE-2020-3556,2020-10-29 23:05:00,2020,Chennai,Tamil Nadu,THEFT,mobile theft,IPC 378,highway,25,44,female,False,under investigation,low,13.220101425635198,80.15139229063384,IPC,IPC 378,23,Thursday,36-50
HYD-2016-8991,2016-06-19 16:32:00,2016,Hyderabad,Telangana,MURDER,culpable homicide,IPC 302,market,10,51,unknown,False,closed,high,17.283712314238073,78.60027578214746,IPC,IPC 302,16,Sunday,51-65
FIR/KOL/2017/3240,2017-10-14 22:19:00,2017,Kolkata,West Bengal,DACOITY,armed dacoity,Sec 395,highway,25,65,female,False,closed,high,22.71730428474365,88.46008831762778,IPC,IPC 395,22,Saturday,51-65
fir/hyd/2018/9608,2018-11-24 04:25:00,2018,Hyderabad,Telangana,VEHICLE THEFT,car theft,379 IPC,market,25,69,unknown,False,closed,low,17.288889926111054,78.58507231766491,IPC,IPC 379,4,Saturday,65+
fir/kol/2018/7913,2018-11-02 05:25:00,2018,Kolkata,West Bengal,THEFT,shoplifting,378 IPC,office,11,12,female,False,under investigation,low,22.67350515757708,88.34731630032913,IPC,IPC 378,5,Friday,Under 18
FIR/MUM/2023/6580,2023-07-09 07:24:00,2023,Mumbai,Maharashtra,ATTEMPT TO MURDER,stabbing,ipc 307,school,35,68,male,False,under investigation,high,19.058544182910843,72.8538007376329,IPC,IPC 307,7,Sunday,65+
fir/pat/2019/2623,2019-08-27 01:12:00,2019,Patna,Bihar,BURGLARY,shop breaking,IPC 457,residence,25,26,male,True,pending trial,medium,25.61406877216815,85.1547506374326,IPC,IPC 457,1,Tuesday,26-35
5742/2023,2023-01-01 00:00:00,2023,Jaipur,Rajasthan,THEFT,pickpocketing,ipc 378,school,18,28,male,True,convicted,low,27.0263225911808,75.66976969769199,IPC,IPC 378,0,Sunday,26-35
MUM-2020-1741,2020-10-07 09:42:00,2020,Mumbai,Maharashtra,ROBBERY,armed robbery,Sec 392,highway,4,75,female,False,charge sheeted,high,19.058119023491788,72.90425121622441,IPC,IPC 392,9,Wednesday,65+
FIR/CHA/2018/1270,2018-01-01 00:00:00,2018,Chandigarh,Punjab,ROBBERY,armed robbery,ipc 392,school,12,57,female,False,closed,high,30.661902669911232,76.67401160854867,IPC,IPC 392,0,Monday,51-65
FIR/CHA/2016/7950,2016-01-01 00:00:00,2016,Chandigarh,Punjab,BURGLARY,house breaking,ipc 457,school,46,12,male,False,charge sheeted,medium,30.679189303578955,76.81413246435628,IPC,IPC 457,0,Friday,Under 18
FIR/DEL/2018/7590,2018-01-01 00:00:00,2018,Delhi,Delhi,THEFT,pickpocketing,Sec 378,market,47,73,male,False,acquitted,low,28.71693866803017,77.22100566726458,IPC,IPC 378,0,Monday,65+
FIR/BAN/2021/2220,2021-08-01 06:36:00,2021,Bangalore,Karnataka,KIDNAPPING,child kidnapping,Sec 363,railway station,5,34,female,False,closed,high,12.90034463052794,77.44524316183195,IPC,IPC 363,6,Sunday,26-35
8027/2020,2020-02-09 00:00:00,2020,Surat,Gujarat,DOMESTIC VIOLENCE,mental cruelty,DV Act 2005,bank,29,31,male,False,under investigation,medium,21.24441306501113,72.7894421024655,DV,DV,0,Sunday,26-35
FIR21642017,2017-01-07 12:52:00,2017,Kolkata,West Bengal,DOMESTIC VIOLENCE,physical abuse,Sec 498A,atm,19,43,male,True,closed,medium,22.58326211800024,88.32648096703561,IPC,IPC 498,12,Saturday,36-50
fir/kol/2015/4253,2015-07-01 06:46:00,2015,Kolkata,West Bengal,THEFT,pickpocketing,Sec 378,street,37,45,female,False,closed,low,22.529374136582728,88.46440011281607,IPC,IPC 378,6,Wednesday,36-50
FIR90492021,2021-10-30 19:38:00,2021,Kolkata,West Bengal,EXTORTION,online extortion,383 IPC,school,35,45,female,False,pending trial,medium,22.69716299612334,88.45557570469444,IPC,IPC 383,19,Saturday,36-50
FIR/MUM/2021/4205,2021-11-17 03:45:00,2021,Mumbai,Maharashtra,CYBER CRIME,identity theft,IT Act 66,highway,22,57,female,False,acquitted,low,18.96897618538783,72.80922528484236,IT,IT 66,3,Wednesday,51-65
8402/2015,2015-07-31 04:06:00,2015,Chennai,Tamil Nadu,THEFT,shoplifting,IPC-378,railway station,12,28,female,False,closed,low,12.960850867352178,80.36682674871511,IPC,IPC 378,4,Friday,26-35
8712/2018,2018-02-19 00:55:00,2018,Kolkata,West Bengal,ARSON,property fire,IPC 435,atm,37,11,male,False,charge sheeted,high,22.668622359761432,88.41134069871019,IPC,IPC 435,0,Monday,Under 18
fir/kan/2021/9103,2021-10-15 01:13:00,2021,Kanpur,Uttar Pradesh,ASSAULT,road rage,Sec. 351,school,25,69,female,False,charge sheeted,medium,26.508464590822737,80.3125702090493,IPC,IPC 351,1,Friday,65+
fir/luc/2019/4013,2019-06-16 16:00:00,2019,Lucknow,Uttar Pradesh,BURGLARY,house breaking,IPC 457,market,26,56,female,False,charge sheeted,medium,26.82929875845433,81.07894572394967,IPC,IPC 457,16,Sunday,51-65
5802/2021,2021-10-19 13:10:00,2021,Hyderabad,Telangana,ROBBERY,armed robbery,IPC-392,market,25,28,male,True,pending trial,high,17.287999107341133,78.49536867626624,IPC,IPC 392,13,Tuesday,26-35
1887/2023,2023-01-21 06:15:00,2023,Delhi,Delhi,ROBBERY,unarmed robbery,Sec 392,highway,34,47,female,False,closed,high,28.66562565303501,77.24987289195172,IPC,IPC 392,6,Saturday,36-50
FIR40292023,2023-05-06 09:38:00,2023,Bangalore,Karnataka,ROBBERY,unarmed robbery,IPC 392,railway station,14,14,female,False,under investigation,high,12.988617925416133,77.63629472596037,IPC,IPC 392,9,Saturday,Under 18
FIR/PAT/2016/6620,2016-03-23 09:35:00,2016,Patna,Bihar,DOMESTIC VIOLENCE,mental cruelty,498-A IPC,market,38,51,female,True,under investigation,medium,25.61499939131228,85.26710375252541,IPC,IPC 498,9,Wednesday,51-65
FIR79892019,2019-09-27 08:03:00,2019,Mumbai,Maharashtra,CYBER CRIME,hacking,it act 66,bank,25,6,male,False,convicted,low,18.9447158214799,72.72786216732501,IT,IT 66,8,Friday,Under 18
PUN-2023-3811,2023-02-17 00:00:00,2023,Pune,Maharashtra,THEFT,pickpocketing,IPC 378,highway,38,25,male,False,charge sheeted,low,18.584324914642973,73.94147626356464,IPC,IPC 378,0,Friday,18-25
fir/kan/2017/2808,2017-01-28 19:52:00,2017,Kanpur,Uttar Pradesh,CYBER CRIME,hacking,it act 66,school,3,39,male,False,under investigation,low,26.46130006001813,80.47642169799211,IT,IT 66,19,Saturday,36-50
2552/2018,2018-11-08 20:07:00,2018,Bhopal,Madhya Pradesh,THEFT,chain snatching,378,unknown,2,25,female,False,closed,low,23.196324829214294,77.32439567022811,IPC,IPC 378,20,Thursday,18-25
KAN-2021-8101,2021-03-09 16:42:00,2021,Kanpur,Uttar Pradesh,VEHICLE THEFT,two wheeler,ipc 379,bank,24,52,male,True,convicted,low,26.472115600593767,80.44846672986782,IPC,IPC 379,16,Tuesday,51-65
FIR24242022,2022-06-13 11:32:00,2022,Bhubaneswar,Odisha,VEHICLE THEFT,two wheeler,IPC 379,street,35,39,male,False,closed,low,20.19243588225047,85.8417617457604,IPC,IPC 379,11,Monday,36-50
fir/pun/2022/8523,2022-01-31 00:00:00,2022,Pune,Maharashtra,THEFT,shoplifting,Sec 378,railway station,4,53,female,True,charge sheeted,low,18.590032675576012,73.8570209385629,IPC,IPC 378,0,Monday,51-65
KOL-2023-2581,2023-05-07 04:37:00,2023,Kolkata,West Bengal,KIDNAPPING,child kidnapping,Sec 363,street,25,36,male,False,closed,high,22.59667991756572,88.28084158706265,IPC,IPC 363,4,Sunday,36-50
FIR/KOL/2023/4515,2023-11-26 00:00:00,2023,Kolkata,West Bengal,DRUG OFFENSE,possession,NDPS Act,bank,16,67,female,False,closed,low,22.543124537590057,88.29760154524261,NDPS,NDPS,0,Sunday,65+
1112/2018,2018-05-02 19:30:00,2018,Kochi,Kerala,FRAUD/CHEATING,online fraud,IPC 420,street,15,32,female,False,convicted,low,9.95394997941908,76.40140052268318,IPC,IPC 420,19,Wednesday,26-35
fir/koc/2018/5928,2018-07-18 16:53:00,2018,Kochi,Kerala,DOMESTIC VIOLENCE,dowry harassment,ipc 498a,highway,17,9,unknown,True,charge sheeted,medium,9.985752842722071,76.32362030330651,IPC,IPC 498,16,Wednesday,Under 18
9747/2017,2017-09-13 00:00:00,2017,Pune,Maharashtra,CYBER CRIME,phishing,IT ACT 66,bank,34,45,male,False,under investigation,low,18.5301941634008,73.96344662243543,IT,IT 66,0,Wednesday,36-50
FIR22892021,2021-05-30 23:49:00,2021,Mumbai,Maharashtra,RAPE/SEXUAL ASSAULT,rape,POCSO Act,street,25,45,female,False,convicted,high,19.023029877468893,72.90860353837488,POCSO,POCSO,23,Sunday,36-50
FIR40742017,2017-02-21 14:36:00,2017,Bangalore,Karnataka,ROBBERY,armed robbery,392 IPC,railway station,1,74,male,False,acquitted,high,12.952648565542685,77.63765308710708,IPC,IPC 392,14,Tuesday,65+
FIR32542023,2023-01-01 00:00:00,2023,Bangalore,Karnataka,ROBBERY,armed robbery,392 IPC,highway,2,66,female,False,pending trial,high,12.945884248906944,77.71541044399082,IPC,IPC 392,0,Sunday,65+
FIR/JAI/2020/7335,2020-02-27 04:59:00,2020,Jaipur,Rajasthan,COUNTERFEITING,fake currency,489A IPC,office,13,26,unknown,False,closed,low,27.022930236655103,75.81018599103957,IPC,IPC 489,4,Thursday,26-35
FIR37392019,2019-03-26 00:00:00,2019,Hyderabad,Telangana,VEHICLE THEFT,car theft,MVA Sec 185,market,49,27,unknown,True,convicted,low,17.243339191462397,78.60462589462458,MVA,MVA 185,0,Tuesday,26-35
FIR63342018,2018-01-01 00:00:00,2018,Bhubaneswar,Odisha,FRAUD/CHEATING,investment scam,Sec 420,market,1,75,female,False,under investigation,low,20.150458990705467,85.72248408561502,IPC,IPC 420,0,Monday,65+
FIR50792016,2016-09-06 00:31:00,2016,Bangalore,Karnataka,COUNTERFEITING,fake currency,489A IPC,atm,34,76,female,False,closed,low,12.879928970552902,77.47619040593547,IPC,IPC 489,0,Tuesday,65+
FIR84292015,2015-12-17 15:59:00,2015,Mumbai,Maharashtra,FRAUD/CHEATING,bank fraud,IPC-420,bank,37,6,male,False,under investigation,low,19.042068119052797,72.73697120371175,IPC,IPC 420,15,Thursday,Under 18
3452/2018,2018-07-13 14:21:00,2018,Ahmedabad,Gujarat,BURGLARY,house breaking,IPC 457,office,25,12,female,False,pending trial,medium,23.122269059882825,72.54836199117166,IPC,IPC 457,14,Friday,Under 18
3792/2019,2019-10-07 11:00:00,2019,Ahmedabad,Gujarat,KIDNAPPING,abduction for ransom,IPC-363,atm,27,68,male,False,under investigation,high,23.005338037753265,72.60033303104838,IPC,IPC 363,11,Monday,65+
2477/2020,2020-05-31 15:44:00,2020,Mumbai,Maharashtra,THEFT,pickpocketing,378 IPC,unknown,39,36,male,False,closed,low,19.0623312415979,72.80358179837818,IPC,IPC 378,15,Sunday,36-50
fir/kan/2018/9113,2018-10-24 05:49:00,2018,Kanpur,Uttar Pradesh,THEFT,mobile theft,378,bank,32,54,male,False,under investigation,low,26.361957332706965,80.24257082675459,IPC,IPC 378,5,Wednesday,51-65
fir/pat/2017/1798,2017-01-01 00:00:00,2017,Patna,Bihar,RIOTING,communal riot,IPC 148,highway,7,73,female,False,pending trial,medium,25.66510940760833,85.05956603955572,IPC,IPC 148,0,Sunday,65+
FIR/DEL/2021/8835,2021-10-23 00:00:00,2021,Delhi,Delhi,ASSAULT,simple assault,Sec. 351,school,46,18,female,False,closed,medium,28.69555433519418,77.11180854554458,IPC,IPC 351,0,Saturday,Under 18
GUW-2022-4731,2022-10-19 00:00:00,2022,Guwahati,Assam,DOMESTIC VIOLENCE,mental cruelty,IPC 498A,school,48,20,male,False,under investigation,medium,26.121088656161515,91.5917200944906,IPC,IPC 498,0,Wednesday,18-25
MUM-2017-2481,2017-10-18 19:03:00,2017,Mumbai,Maharashtra,VEHICLE THEFT,two wheeler,379 IPC,street,2,24,male,False,closed,low,18.97221952759865,72.89134086490472,IPC,IPC 379,19,Wednesday,18-25
LUC-2018-5986,2018-09-12 20:25:00,2018,Lucknow,Uttar Pradesh,CYBER CRIME,identity theft,Sec 66 IT Act,railway station,21,64,male,False,pending trial,low,26.74503501814776,80.80373162366882,IT,IT 66,20,Wednesday,51-65
FIR/CHA/2015/8815,2015-05-30 12:56:00,2015,Chandigarh,Punjab,MURDER,culpable homicide,ipc 302,highway,41,36,male,True,under investigation,high,30.6191847844732,76.77171790607221,IPC,IPC 302,12,Saturday,36-50
HYD-2021-9531,2021-07-22 00:00:00,2021,Hyderabad,Telangana,KIDNAPPING,abduction for ransom,IPC-363,street,18,19,female,False,charge sheeted,high,17.30213517031207,78.4407969280256,IPC,IPC 363,0,Thursday,18-25
FIR57942022,2022-08-24 04:33:00,2022,Bhopal,Madhya Pradesh,CYBER CRIME,hacking,it act 66,bank,17,74,male,False,pending trial,low,23.360943067768023,77.29328819497877,IT,IT 66,4,Wednesday,65+
fir/ban/2016/5893,2016-03-04 09:02:00,2016,Bangalore,Karnataka,ROBBERY,unarmed robbery,IPC 392,bank,33,50,female,False,convicted,high,12.929200713184196,77.54432341925566,IPC,IPC 392,9,Friday,36-50
4367/2018,2018-10-31 03:51:00,2018,Delhi,Delhi,FRAUD/CHEATING,upi fraud,ipc 420,street,31,75,female,True,charge sheeted,low,28.816191082126885,77.1239106795048,IPC,IPC 420,3,Wednesday,65+
FIR/CHE/2021/1580,2021-05-31 12:00:00,2021,Chennai,Tamil Nadu,THEFT,mobile theft,378,atm,25,9,male,False,closed,low,13.04294357182592,80.26898047628491,IPC,IPC 378,12,Monday,Under 18
7767/2017,2017-03-13 22:01:00,2017,Bangalore,Karnataka,MURDER,premeditated,IPC-302,highway,31,75,male,False,convicted,high,13.042288318396825,77.46427433881453,IPC,IPC 302,22,Monday,65+
fir/koc/2022/6628,2022-03-17 05:37:00,2022,Kochi,Kerala,ROBBERY,armed robbery,392 IPC,bank,44,18,male,True,under investigation,high,9.806772528221227,76.12900787036669,IPC,IPC 392,5,Thursday,Under 18
FIR16242016,2016-07-19 02:07:00,2016,Chandigarh,Punjab,ROBBERY,bank robbery,392 IPC,highway,31,27,male,False,closed,high,30.79910187030918,76.74760372727397,IPC,IPC 392,2,Tuesday,26-35
fir/del/2021/2578,2021-03-07 14:23:00,2021,Delhi,Delhi,DOMESTIC VIOLENCE,physical abuse,IPC 498A,street,8,7,female,True,closed,medium,28.728906912096416,76.98548123197064,IPC,IPC 498,14,Sunday,Under 18
FIR/BAN/2016/3055,2016-02-19 00:04:00,2016,Bangalore,Karnataka,THEFT,shoplifting,IPC 378,highway,32,36,female,False,under investigation,low,12.899617263254257,77.60625431333384,IPC,IPC 378,0,Friday,36-50
HYD-2022-9376,2022-05-03 11:09:00,2022,Hyderabad,Telangana,FRAUD/CHEATING,online fraud,ipc 420,office,33,46,female,False,charge sheeted,low,17.269468409861208,78.45935505907232,IPC,IPC 420,11,Tuesday,36-50
1962/2021,2021-12-28 03:21:00,2021,Mumbai,Maharashtra,THEFT,pickpocketing,378,atm,11,26,male,True,under investigation,low,18.98038793751125,72.87524041196427,IPC,IPC 378,3,Tuesday,26-35
FIR/BHO/2023/6255,2023-09-19 11:19:00,2023,Bhopal,Madhya Pradesh,ASSAULT,grievous hurt,ipc 351,residence,2,74,female,False,charge sheeted,medium,23.27858547084263,77.30497057048474,IPC,IPC 351,11,Tuesday,65+
CHA-2023-6211,2023-01-14 00:00:00,2023,Chandigarh,Punjab,BURGLARY,house breaking,ipc 457,bank,36,50,male,False,under investigation,medium,30.58713812707876,76.77591673402532,IPC,IPC 457,0,Saturday,36-50
FIR25642023,2023-09-30 06:50:00,2023,Bhopal,Madhya Pradesh,THEFT,shoplifting,Sec 378,atm,3,47,unknown,False,closed,low,23.267594610778985,77.34087946135028,IPC,IPC 378,6,Saturday,36-50
FIR/HYD/2015/6445,2015-04-14 20:54:00,2015,Hyderabad,Telangana,FRAUD/CHEATING,upi fraud,420 IPC,railway station,37,67,unknown,False,closed,low,17.291165483188216,78.44636144337385,IPC,IPC 420,20,Tuesday,65+
FIR/CHE/2021/9400,2021-10-15 14:09:00,2021,Chennai,Tamil Nadu,DOMESTIC VIOLENCE,physical abuse,ipc 498a,highway,42,18,male,False,pending trial,medium,13.210930728095969,80.18329701707447,IPC,IPC 498,14,Friday,Under 18
fir/mum/2015/8833,2015-11-14 17:11:00,2015,Mumbai,Maharashtra,VEHICLE THEFT,two wheeler,MVA Sec 185,atm,2,52,male,False,charge sheeted,low,19.10360621139405,73.02407088875349,MVA,MVA 185,17,Saturday,51-65
fir/kol/2020/5173,2020-07-28 08:41:00,2020,Kolkata,West Bengal,DRUG OFFENSE,possession,NDPS Act,school,5,27,male,False,charge sheeted,low,22.430671582197544,88.40045448001294,NDPS,NDPS,8,Tuesday,26-35
FIR19192016,2016-07-17 09:13:00,2016,Bhubaneswar,Odisha,CYBER CRIME,phishing,IT ACT 66,school,31,45,unknown,False,charge sheeted,low,20.17360080924191,85.75516163503393,IT,IT 66,9,Sunday,36-50
FIR/KOL/2018/8675,2018-11-27 00:00:00,2018,Kolkata,West Bengal,MURDER,culpable homicide,ipc 302,highway,33,7,male,False,convicted,high,22.58530962955852,88.38607079939968,IPC,IPC 302,0,Tuesday,Under 18
AHM-2023-5946,2023-06-26 02:36:00,2023,Ahmedabad,Gujarat,RAPE/SEXUAL ASSAULT,molestation,POCSO Act,street,3,22,female,False,convicted,high,23.077614274023983,72.56121727790604,POCSO,POCSO,2,Monday,18-25
fir/pun/2018/6328,2018-06-03 10:46:00,2018,Pune,Maharashtra,ASSAULT,grievous hurt,351 IPC,bank,1,52,male,True,under investigation,medium,18.396760325430904,73.99170538630774,IPC,IPC 351,10,Sunday,51-65
fir/del/2023/7033,2023-06-12 20:05:00,2023,Delhi,Delhi,KIDNAPPING,child kidnapping,IPC 363,market,40,44,unknown,False,under investigation,high,28.814703660523968,77.10212633257287,IPC,IPC 363,20,Monday,36-50
FIR86192021,2021-03-23 00:00:00,2021,Chennai,Tamil Nadu,ARSON,property fire,IPC 436,highway,42,23,female,False,closed,high,12.982297574571142,80.14875076739844,IPC,IPC 436,0,Tuesday,18-25
FIR79192021,2021-12-02 08:55:00,2021,Hyderabad,Telangana,ASSAULT,grievous hurt,Sec. 351,school,36,39,female,True,charge sheeted,medium,17.298168440466462,78.47975072105798,IPC,IPC 351,8,Thursday,36-50
FIR/KOL/2015/2555,2015-07-05 00:00:00,2015,Kolkata,West Bengal,ASSAULT,grievous hurt,IPC 351,street,21,75,male,False,charge sheeted,medium,22.466389453128212,88.42602891822301,IPC,IPC 351,0,Sunday,65+
FIR16892017,2017-08-08 14:54:00,2017,Indore,Madhya Pradesh,FRAUD/CHEATING,online fraud,Sec 420,atm,19,62,female,True,charge sheeted,low,22.818562556214637,75.99567999812827,IPC,IPC 420,14,Tuesday,51-65
FIR48742015,2015-05-07 22:23:00,2015,Mumbai,Maharashtra,BURGLARY,night burglary,Sec. 457,atm,34,32,female,False,under investigation,medium,19.205941841812823,72.82829443336577,IPC,IPC 457,22,Thursday,26-35
FIR/PUN/2019/2055,2019-05-03 09:56:00,2019,Pune,Maharashtra,DOMESTIC VIOLENCE,mental cruelty,Sec 498A,street,32,13,male,False,closed,medium,18.412836620912888,73.91720053031612,IPC,IPC 498,9,Friday,Under 18
9732/2015,2015-05-02 13:17:00,2015,Kolkata,West Bengal,RAPE/SEXUAL ASSAULT,rape,376 IPC,market,7,63,female,False,under investigation,high,22.68095438157546,88.23787029834051,IPC,IPC 376,13,Saturday,51-65
FIR11742021,2021-01-01 00:00:00,2021,Ahmedabad,Gujarat,CYBER CRIME,social media abuse,it act 66,office,24,64,female,False,charge sheeted,low,23.00311528794912,72.54039268710314,IT,IT 66,0,Friday,51-65
1287/2020,2020-02-08 18:46:00,2020,Guwahati,Assam,DOMESTIC VIOLENCE,dowry harassment,DV Act 2005,street,46,47,unknown,False,charge sheeted,medium,26.26372898883892,91.6851194122656,DV,DV,18,Saturday,36-50
FIR/PAT/2022/8675,2022-09-12 00:00:00,2022,Patna,Bihar,ROBBERY,bank robbery,IPC-392,unknown,18,27,male,False,charge sheeted,high,25.69749247420543,85.15366334798946,IPC,IPC 392,0,Monday,26-35
FIR/SUR/2015/6520,2015-01-30 00:11:00,2015,Surat,Gujarat,CYBER CRIME,phishing,IT ACT 66,street,24,24,male,False,acquitted,low,21.319342034413427,72.72605243680765,IT,IT 66,0,Friday,18-25
BAN-2022-1176,2022-11-02 04:33:00,2022,Bangalore,Karnataka,ASSAULT,road rage,351 IPC,unknown,36,56,female,False,charge sheeted,medium,13.031205973756066,77.70977540309482,IPC,IPC 351,4,Wednesday,51-65
