fir_number,date_reported,year,city,state,primary_crime_type,description,ipc_section,location_type,beat_zone,victim_age,victim_gender,arrest_made,case_status,severity,latitude,longitude
2757/2016,22/09/16 19:31,2016,Kolkata,West Bengal,DOMESTIC VIOLENCE,DOWRY HARASSMENT,Sec 498A,Market,13.0,52.0,MALE,n,under investigation,MEDIUM,22.66886887997773,88.39884910081749
1972/2021,18 October 2021 08:25 AM,2021,Mumbai,Maharashtra,RIOTING,Communal Riot,IPC 148,OFFICE,43.0,,M,N,PENDING TRIAL,Medium,19.116854472296474,72.84396314991737
FIR/SUR/2017/9250,03/19/2017 19:47:00,2017,Surat,Gujarat,DOMESTIC VIOLENCE,Mental Cruelty,ipc 498a,Market,33.0,200.0,MALE,NO,UNDER INVESTIGATION,MEDIUM,21.0270185261189,72.72094106470362
2257/2023,2023-03-07 11:42:00,2023,Kolkata,West Bengal,ROBBERY,Bank Robbery,392 IPC,Railway Station,40.0,22.0,m,,CHARGE SHEETED,HIGH,22.669918937665322,88.44598853162132
FIR/JAI/2018/7680,21/02/2018 17:43:00,2018,Jaipur,Rajasthan,MURDER,CULPABLE HOMICIDE,302 IPC,SCHOOL,38.0,24.0,,,charge sheeted,High,27.03909936123249,75.73574264800168
FIR/HYD/2019/9930,05/03/2019 14:30:00,2019,Hyderabad,Telangana,ROBBERY,ARMED ROBBERY,ipc 392,OFFICE,41.0,19.0,Unknown,,CHARGE SHEETED,HIGH,17.28985646395037,78.54918765385774
HYD-2018-8641,2018-02-13 00:19:00,2018,Hyderabad,Telangana,THEFT,MOBILE THEFT,378,Highway,21.0,37.0,male,False,Closed,Low,17.282808064104408,78.57174577953172
fir/hyd/2020/7038,1583557140,2020,Hyderabad,Telangana,FRAUD/CHEATING,INVESTMENT SCAM,Sec 420,Railway Station,12.0,,Female,NO,charge sheeted,Low,17.28940329282361,78.50210195338913
FIR/MUM/2020/9590,1588460880,2020,Mumbai,Maharashtra,BURGLARY,Shop Breaking,Sec. 457,RESIDENCE,19.0,65.0,Male,No,,Medium,19.07237144146018,72.79629147579274
fir/kol/2018/2973,25/10/18 04:40,2018,Kolkata,West Bengal,OTHER IPC OFFENSE,Public Nuisance,ipc 151,BANK,33.0,76.0,m,yes,Closed,Low,22.519843024913225,88.44564505544685
2902/2020,1608590400,2020,Chennai,Tamil Nadu,THEFT,Pickpocketing,ipc 378,Highway,33.0,50.0,MALE,no,Closed,Low,13.113778623811358,80.37379933156463
fir/bho/2020/5628,01 October 2020 01:57 AM,2020,Bhopal,Madhya Pradesh,ASSAULT,Grievous Hurt,ipc 351,BANK,1.0,7.0,UNKNOWN,no,CLOSED,Medium,23.303472044776456,77.29554311737608
fir/jai/2020/6633,2020-08-01 00:19:00,2020,Jaipur,Rajasthan,ASSAULT,Grievous Hurt,351 IPC,MARKET,15.0,53.0,female,yes,closed,Medium,26.897617804038845,75.7320771530024
MUM-2022-8651,02-12-2022,2022,Mumbai,Maharashtra,THEFT,SHOPLIFTING,IPC 378,RESIDENCE,11.0,23.0,Female,No,UNDER INVESTIGATION,Low,18.92754459339952,72.8359734984517
fir/del/2020/4978,10/29/2020 12:32:00,2020,Delhi,Delhi,BURGLARY,HOUSE BREAKING,Sec. 457,MARKET,10.0,53.0,M,,Pending Trial,Medium,28.632436938126947,77.25119489551032
FIR/MUM/2023/3770,03/30/2023 09:51:00,2023,Mumbai,Maharashtra,THEFT,Chain Snatching,ipc 378,School,13.0,47.0,female,,Pending Trial,Low,19.17697225471929,72.78830916415318
FIR/CHE/2022/7095,12/11/2022 06:34:00,2022,Chennai,Tamil Nadu,VEHICLE THEFT,Two Wheeler,379 IPC,Office,8.0,30.0,MALE,no,CLOSED,Low,13.176710806988218,80.36652496662965
FIR33292023,2023-11-04 23:14:00,2023,Mumbai,Maharashtra,FRAUD/CHEATING,ONLINE FRAUD,420,RAILWAY STATION,22.0,,UNKNOWN,Yes,Charge Sheeted,Low,19.01726665728313,72.9755161924978
FIR/MUM/2016/7505,2016-09-24 21:17:00,2016,Mumbai,Maharashtra,FRAUD/CHEATING,Bank Fraud,IPC-420,Bank,44.0,34.0,M,TRUE,Convicted,Low,19.12251885635967,72.73919794863468
fir/del/2018/3703,07/12/2018 05:02:00,2018,Delhi,Delhi,FRAUD/CHEATING,online fraud,IPC-420,Railway Station,38.0,32.0,male,No,CONVICTED,Low,28.759955514909944,76.96640200416832
FIR58142018,1520183760,2018,Delhi,Delhi,DRUG OFFENSE,TRAFFICKING,NDPS Act,Railway Station,37.0,58.0,Female,,UNDER INVESTIGATION,LOW,28.72481812206809,77.13403939477584
FIR16592018,27-03-2018,2018,Pune,Maharashtra,RAPE/SEXUAL ASSAULT,RAPE,Sec 376,Railway Station,3.0,53.0,Male,no,CLOSED,High,18.51204227049701,73.72963365193041
FIR/JAI/2021/7235,28-03-2021,2021,Jaipur,Rajasthan,ASSAULT,simple assault,IPC 351,Street,40.0,49.0,Female,N,under investigation,Medium,26.767250594682256,75.67009508465465
1632/2022,24/03/2022 05:46:00,2022,Mumbai,Maharashtra,CYBER CRIME,HACKING,IT Act 66,Street,,52.0,female,,Convicted,low,19.193770489022018,72.79253334909683
FIR74392020,31/12/2020 10:54:00,2020,Mumbai,Maharashtra,VEHICLE THEFT,TWO WHEELER,ipc 379,Street,30.0,47.0,Male,No,under investigation,Low,19.000304956090762,72.77834485743533
DEL-2022-8991,25/12/2022 01:04:00,2022,Delhi,Delhi,ATTEMPT TO MURDER,stabbing,307 IPC,street,16.0,15.0,Female,Yes,PENDING TRIAL,high,28.778350578818763,77.16388341883253
FIR43092017,21/01/17 16:56,2017,Pune,Maharashtra,THEFT,Pickpocketing,Sec 378,Market,14.0,44.0,F,NO,PENDING TRIAL,Low,18.593109192852555,74.0021267235091
FIR/MUM/2015/4985,2015-11-10 19:43:00,2015,Mumbai,Maharashtra,CYBER CRIME,Identity Theft,66C IT Act,RAILWAY STATION,49.0,7.0,UNKNOWN,True,Charge Sheeted,low,18.993441664509408,73.00359881901647
FIR28942021,1617093720,2021,Pune,Maharashtra,RIOTING,COMMUNAL RIOT,ipc 147,Street,16.0,,MALE,FALSE,charge sheeted,Medium,18.648518941988538,73.98143255713768
FIR60242019,26/05/2019 18:44:00,2019,Delhi,Delhi,CYBER CRIME,HACKING,66C IT Act,Market,32.0,52.0,FEMALE,YES,Convicted,low,28.635991034424386,77.1599136240033
8702/2018,1518621660,2018,Delhi,Delhi,ASSAULT,Road Rage,IPC 351,,12.0,16.0,Female,,PENDING TRIAL,Medium,28.725893316452414,77.21182355615457
FIR/MUM/2020/9920,03/09/2020 07:15:00,2020,Mumbai,Maharashtra,ROBBERY,Bank Robbery,392 IPC,MARKET,24.0,19.0,male,no,UNDER INVESTIGATION,HIGH,,
FIR/BHU/2021/9855,23/06/2021 23:27:00,2021,Bhubaneswar,Odisha,THEFT,Chain Snatching,378 IPC,street,49.0,59.0,m,,UNDER INVESTIGATION,Low,20.366957067508807,85.88021779810957
fir/mum/2018/2273,2018-03-20 03:26:00,2018,Mumbai,Maharashtra,CYBER CRIME,PHISHING,IT ACT 66,Bank,9.0,,male,True,CONVICTED,low,18.971005905439412,72.96187183622234
FIR/KOC/2015/8965,01/10/15 07:46,2015,Kochi,Kerala,DRUG OFFENSE,POSSESSION,Sec 20 NDPS,Market,47.0,57.0,,Yes,PENDING TRIAL,LOW,9.86893257511675,76.1363889908588
3412/2018,11 May 2018 01:31 AM,2018,Kolkata,West Bengal,THEFT,Chain Snatching,Sec 378,Bank,40.0,79.0,M,NO,CLOSED,Low,22.699740816253925,88.27283433328296
9572/2019,18 February 2019 10:26 AM,2019,Pune,Maharashtra,DRUG OFFENSE,POSSESSION,ndps act,BANK,11.0,76.0,f,no,CHARGE SHEETED,LOW,18.625046066499323,73.84963362337238
FIR53042019,30/12/2019 10:54:00,2019,Hyderabad,Telangana,COUNTERFEITING,fake currency,489A IPC,School,23.0,24.0,Male,n,Pending Trial,Low,17.493988212198765,78.35182132030239
FIR92742023,10/22/2023 05:08:00,2023,Bangalore,Karnataka,BURGLARY,house breaking,457 IPC,OFFICE,34.0,21.0,FEMALE,n,PENDING TRIAL,Medium,13.044914705227535,77.63742254026735
KAN-2021-4381,26/04/21 01:05,2021,Kanpur,Uttar Pradesh,BURGLARY,Shop Breaking,Sec. 457,Residence,15.0,24.0,Female,,,Medium,,
FIR32342015,04/27/2015 16:32:00,2015,Bangalore,Karnataka,DRUG OFFENSE,Possession,NDPS ACT Sec 8,SCHOOL,16.0,19.0,,,Charge Sheeted,LOW,12.888731009388401,77.51875931692827
6767/2022,18/03/2022 00:17:00,2022,Hyderabad,Telangana,ASSAULT,Road Rage,IPC 352,MARKET,10.0,66.0,MALE,Yes,Charge Sheeted,Medium,17.463965758604132,78.61219368443741
MUM-2020-2871,13/03/2020 19:03:00,2020,Mumbai,Maharashtra,CYBER CRIME,Social Media Abuse,66C IT Act,BANK,3.0,46.0,M,YES,CONVICTED,low,19.160730747978313,72.98396076131961
FIR70442019,05 April 2019 10:24 AM,2019,Lucknow,Uttar Pradesh,ROBBERY,Unarmed Robbery,IPC-392,Railway Station,12.0,7.0,,,CHARGE SHEETED,HIGH,,
7052/2018,02 April 2018 09:43 AM,2018,Mumbai,Maharashtra,ATTEMPT TO MURDER,Stabbing,307 IPC,street,3.0,76.0,,yes,Under Investigation,high,19.214176856910118,72.91066988844639
fir/che/2023/6648,01/02/2023 12:37:00,2023,Chennai,Tamil Nadu,BURGLARY,Shop Breaking,IPC 457,MARKET,23.0,52.0,Male,,UNDER INVESTIGATION,Medium,13.038816495903308,80.41678557041071
FIR21842018,25/02/2018 05:22:00,2018,Surat,Gujarat,ASSAULT,ROAD RAGE,IPC 351,RAILWAY STATION,,45.0,,no,charge sheeted,Medium,21.108672948240358,72.89473226540888
1837/2015,03/04/15 18:57,2015,Hyderabad,Telangana,ASSAULT,Grievous Hurt,IPC 351,,3.0,46.0,male,n,Pending Trial,Medium,17.526704124924393,78.46378315867
fir/ban/2021/4653,29/07/21 04:41,2021,Bangalore,Karnataka,EXTORTION,Online Extortion,Sec 383,,28.0,23.0,f,Y,,medium,13.066408081631641,77.70825326553935
FIR47192021,10/03/2021 17:32:00,2021,Mumbai,Maharashtra,MURDER,Premeditated,302 IPC,MARKET,27.0,64.0,FEMALE,,Under Investigation,High,,
FIR/DEL/2015/8905,2015-09-12 17:43:00,2015,Delhi,Delhi,ROBBERY,Bank Robbery,ipc 392,Street,10.0,27.0,m,False,Closed,HIGH,28.675592190269434,77.09620117259081
6392/2018,09/02/2018 11:27:00,2018,Bhopal,Madhya Pradesh,FRAUD/CHEATING,UPI Fraud,IPC 420,OFFICE,35.0,61.0,,TRUE,UNDER INVESTIGATION,Low,23.338917072996875,77.29033672660442
fir/jai/2018/2863,05/06/2018 14:16:00,2018,Jaipur,Rajasthan,THEFT,PICKPOCKETING,IPC-378,MARKET,36.0,54.0,female,No,UNDER INVESTIGATION,Low,26.942698833059435,75.9183190581598
fir/che/2017/3203,18-05-2017,2017,Chennai,Tamil Nadu,FRAUD/CHEATING,Investment Scam,ipc 420,Bank,46.0,11.0,M,No,PENDING TRIAL,Low,12.980378395004545,80.32653159547239
2657/2019,2019-04-04 12:59:00,2019,Hyderabad,Telangana,THEFT,SHOPLIFTING,Sec 378,HIGHWAY,36.0,73.0,F,No,UNDER INVESTIGATION,Low,17.267028590724827,78.45696365709293
FIR67692021,2021-06-09 06:45:00,2021,Hyderabad,Telangana,FRAUD/CHEATING,ONLINE FRAUD,420 IPC,HIGHWAY,47.0,13.0,male,,CHARGE SHEETED,Low,17.365163813151746,78.46421320043682
FIR/LUC/2018/7940,30 November 2018 11:22 PM,2018,Lucknow,Uttar Pradesh,THEFT,SHOPLIFTING,378,Market,47.0,11.0,Female,y,CHARGE SHEETED,Low,26.81860064048532,80.80568947175495
FIR/AHM/2023/6860,16 July 2023 06:42 AM,2023,Ahmedabad,Gujarat,FRAUD/CHEATING,Investment Scam,IPC-420,BANK,23.0,27.0,female,FALSE,closed,Low,23.103193198269427,72.56787826974282
DEL-2017-2616,19/08/2017 04:06:00,2017,Delhi,Delhi,THEFT,MOBILE THEFT,IPC-378,Market,5.0,69.0,FEMALE,YES,,Low,28.56644362442707,77.23637899244805
fir/hyd/2020/8463,05/03/2020 00:11:00,2020,Hyderabad,Telangana,THEFT,PICKPOCKETING,378 IPC,HIGHWAY,11.0,26.0,M,yes,CONVICTED,Low,,
FIR/CHE/2020/3495,07/01/2020 02:13:00,2020,Chennai,Tamil Nadu,FRAUD/CHEATING,BANK FRAUD,ipc 420,Market,1.0,72.0,,NO,CHARGE SHEETED,Low,,
FIR16092017,2017-11-05 14:37:00,2017,Lucknow,Uttar Pradesh,DOMESTIC VIOLENCE,Dowry Harassment,Sec 498A,street,44.0,13.0,male,yes,Under Investigation,MEDIUM,26.924074918912634,81.07370337121341
fir/del/2016/1308,18 September 2016 11:01 AM,2016,Delhi,Delhi,DACOITY,Gang Robbery,IPC 395,Bank,5.0,45.0,f,no,UNDER INVESTIGATION,High,28.743568763466023,76.95305931199067
FIR/MUM/2020/4135,11/07/2020 19:55:00,2020,Mumbai,Maharashtra,THEFT,SHOPLIFTING,378,,,78.0,,No,Pending Trial,Low,18.979165971698013,73.01960999193548
FIR43942016,03/24/2016 06:47:00,2016,Kolkata,West Bengal,CYBER CRIME,Identity Theft,Sec 66 IT Act,BANK,,60.0,Female,No,Closed,low,22.55393098146904,88.32916119942304
JAI-2020-2351,16/06/2020 15:48:00,2020,Jaipur,Rajasthan,BURGLARY,HOUSE BREAKING,IPC 457,HIGHWAY,11.0,11.0,MALE,n,Closed,Medium,26.825343362616774,75.82118986597355
BHU-2018-3951,23/09/2018 06:17:00,2018,Bhubaneswar,Odisha,VEHICLE THEFT,Car Theft,MVA Sec 185,Highway,16.0,,female,N,Closed,Low,20.299985789614905,85.8041716796661
fir/jai/2017/8498,11/25/2017 21:35:00,2017,Jaipur,Rajasthan,RIOTING,Communal Riot,IPC 147,STREET,14.0,75.0,MALE,,closed,Medium,27.048817790255562,75.67157302582206
1562/2023,08/26/2023 03:37:00,2023,Delhi,Delhi,THEFT,Pickpocketing,378,Office,15.0,51.0,,,CONVICTED,Low,28.59881572618023,77.03122904932808
fir/mum/2023/2208,19/11/2023 09:45:00,2023,Mumbai,Maharashtra,ROBBERY,ARMED ROBBERY,IPC 392,Highway,41.0,22.0,,YES,Closed,HIGH,18.977207964006098,73.00783052872777
PUN-2017-2031,04/07/2017 20:35:00,2017,Pune,Maharashtra,BURGLARY,House Breaking,Sec. 457,OFFICE,3.0,,,,UNDER INVESTIGATION,Medium,18.57189255506405,73.73890769794463
FIR51492020,27/06/20 22:30,2020,Chennai,Tamil Nadu,MURDER,premeditated,ipc 302,Market,28.0,71.0,FEMALE,FALSE,CHARGE SHEETED,High,13.197305565627717,80.35859809465371
FIR68342023,06/07/2023 20:47:00,2023,Hyderabad,Telangana,RIOTING,Political Violence,IPC 147,RAILWAY STATION,38.0,20.0,,True,CHARGE SHEETED,Medium,17.467772925232044,78.38970809118614
FIR38942016,1468442640,2016,Hyderabad,Telangana,CYBER CRIME,PHISHING,IT Act 66,RESIDENCE,,46.0,f,No,Closed,low,17.526672756261085,78.60372118581411
KOL-2023-9206,1691370240,2023,Kolkata,West Bengal,ATTEMPT TO MURDER,Shooting,Sec 307,STREET,49.0,68.0,f,no,under investigation,high,22.5008908107124,88.33434006176445
fir/sur/2018/8058,01/10/2018 16:33:00,2018,Surat,Gujarat,ROBBERY,Armed Robbery,IPC-392,Bank,28.0,29.0,Male,,CHARGE SHEETED,HIGH,21.068282036098033,72.89765857802534
FIR25992021,12/04/2021 11:56:00,2021,Chennai,Tamil Nadu,FRAUD/CHEATING,ONLINE FRAUD,420 IPC,OFFICE,17.0,53.0,FEMALE,n,UNDER INVESTIGATION,Low,13.138287810291525,80.39657694430831
FIR/CHA/2021/2145,2021-06-12 11:47:00,2021,Chandigarh,Punjab,DRUG OFFENSE,TRAFFICKING,Sec 20 NDPS,Railway Station,47.0,61.0,UNKNOWN,,,LOW,30.76127294678486,76.87214609212707
KOL-2021-5721,2021-09-03 07:00:00,2021,Kolkata,West Bengal,THEFT,Mobile Theft,IPC-378,street,44.0,36.0,,no,,Low,22.651650692652865,88.43958893769943
fir/bhu/2018/3803,14-05-2018,2018,Bhubaneswar,Odisha,EXTORTION,ONLINE EXTORTION,IPC 383,RESIDENCE,23.0,27.0,male,YES,UNDER INVESTIGATION,medium,20.204319339525433,85.83846657307198
7972/2023,23 July 2023 10:05 PM,2023,Kochi,Kerala,RAPE/SEXUAL ASSAULT,Molestation,IPC 376,RESIDENCE,39.0,51.0,Unknown,Yes,charge sheeted,High,9.985964054233397,76.20329701339844
FIR47442018,13/04/2018 20:57:00,2018,Nagpur,Maharashtra,ROBBERY,Armed Robbery,ipc 392,,,51.0,UNKNOWN,N,charge sheeted,HIGH,21.278443231614606,79.19703292658889
1442/2015,11/17/2015 08:35:00,2015,Hyderabad,Telangana,ARSON,Property Fire,435 IPC,Residence,1.0,11.0,FEMALE,NO,CHARGE SHEETED,High,17.337230776759853,78.61766083852703
fir/nag/2018/2588,26 May 2018 09:50 PM,2018,Nagpur,Maharashtra,THEFT,SHOPLIFTING,ipc 378,BANK,37.0,,Male,Y,closed,Low,21.127378852418076,79.16760703305955
fir/bho/2018/4098,12/26/2018 01:49:00,2018,Bhopal,Madhya Pradesh,BURGLARY,house breaking,ipc 457,Highway,34.0,71.0,Unknown,Yes,UNDER INVESTIGATION,Medium,23.32186318621459,77.39224749268203
FIR/PUN/2023/8870,1703205840,2023,Pune,Maharashtra,THEFT,Mobile Theft,ipc 378,street,33.0,70.0,male,No,closed,Low,18.6071741538145,73.88477840514922
FIR54142016,1477598040,2016,Surat,Gujarat,DOMESTIC VIOLENCE,PHYSICAL ABUSE,498-A IPC,Street,23.0,34.0,f,No,CLOSED,MEDIUM,21.306239431693452,72.89577088293295
fir/kol/2023/1733,01/01/23 18:02,2023,Kolkata,West Bengal,THEFT,MOBILE THEFT,Sec 378,Railway Station,9.0,64.0,f,No,Pending Trial,Low,22.495205030673283,88.50274583872275
FIR96292021,09/04/21 02:00,2021,Bhopal,Madhya Pradesh,ASSAULT,Road Rage,ipc 351,,29.0,29.0,MALE,FALSE,under investigation,Medium,,
FIR30542021,1614996840,2021,Chennai,Tamil Nadu,ASSAULT,GRIEVOUS HURT,ipc 351,ATM,,27.0,MALE,yes,under investigation,Medium,13.225462437601074,80.12848678055025
1742/2018,1515818880,2018,Bhopal,Madhya Pradesh,FRAUD/CHEATING,Bank Fraud,IPC 420,Office,35.0,,M,No,PENDING TRIAL,Low,23.157501198608564,77.48483683870721
8017/2020,2020-12-26 19:57:00,2020,Indore,Madhya Pradesh,BURGLARY,HOUSE BREAKING,ipc 457,SCHOOL,40.0,78.0,Female,False,UNDER INVESTIGATION,Medium,999.0,999.0
FIR93392018,06-05-2018,2018,Nagpur,Maharashtra,ARSON,Property Fire,435 IPC,School,22.0,63.0,Female,False,Pending Trial,High,21.165772533442187,79.00803697549031
HYD-2018-5276,28 April 2018 11:25 AM,2018,Hyderabad,Telangana,ROBBERY,Bank Robbery,IPC 392,BANK,11.0,34.0,FEMALE,No,Convicted,HIGH,17.483001162998868,78.36695786251775
3322/2021,11/13/2021 21:01:00,2021,Delhi,Delhi,ASSAULT,GRIEVOUS HURT,IPC 352,HIGHWAY,20.0,68.0,female,NO,Closed,Medium,28.638821620300046,77.04087524475287
FIR18392015,07/08/2015 16:19:00,2015,Jaipur,Rajasthan,BURGLARY,house breaking,Sec. 457,Office,30.0,39.0,FEMALE,,Acquitted,Medium,26.853868119139165,75.72315838604291
FIR/NAG/2016/4715,08-01-2016,2016,Nagpur,Maharashtra,THEFT,Chain Snatching,378,Street,1.0,29.0,Female,False,Under Investigation,Low,21.188544091440825,79.0587191773198
AHM-2019-8566,1552075200,2019,Ahmedabad,Gujarat,FRAUD/CHEATING,INVESTMENT SCAM,ipc 420,Bank,45.0,47.0,m,NO,CONVICTED,Low,23.080491656802458,72.58244439330285
FIR/AHM/2016/7915,14-03-2016,2016,Ahmedabad,Gujarat,CYBER CRIME,IDENTITY THEFT,Sec 66 IT Act,street,19.0,20.0,Male,Yes,CLOSED,low,23.04602414389522,72.4343466903309
fir/pat/2021/2113,2021-02-12 09:08:00,2021,Patna,Bihar,DRUG OFFENSE,possession,NDPS ACT Sec 8,HIGHWAY,31.0,69.0,Female,FALSE,closed,LOW,25.49025203774938,85.28439938595297
2057/2019,2019-05-03 11:02:00,2019,Kanpur,Uttar Pradesh,FRAUD/CHEATING,Bank Fraud,Sec 420,street,36.0,66.0,MALE,No,UNDER INVESTIGATION,Low,26.355174917892914,80.37034525489075
DEL-2020-1746,05/19/2020 11:07:00,2020,Delhi,Delhi,BURGLARY,Shop Breaking,Sec. 457,,9.0,77.0,F,NO,PENDING TRIAL,Medium,28.74193593368242,76.98638511962479
FIR/MUM/2015/1315,15-10-2015,2015,Mumbai,Maharashtra,DRUG OFFENSE,Peddling,Sec 20 NDPS,Highway,46.0,64.0,,,Under Investigation,LOW,19.131281671188074,72.97400868143173
3362/2023,11/18/2023 23:48:00,2023,Mumbai,Maharashtra,VEHICLE THEFT,Car Theft,ipc 379,MARKET,45.0,16.0,male,TRUE,Pending Trial,Low,19.020220752724523,72.74356400479756
fir/del/2016/6543,14/01/2016 14:13:00,2016,Delhi,Delhi,CYBER CRIME,Identity Theft,66C IT Act,Residence,12.0,75.0,Male,TRUE,Under Investigation,low,28.838888363653183,77.11193770963426
FIR12492017,2017-08-04 13:08:00,2017,Kolkata,West Bengal,CYBER CRIME,Social Media Abuse,IT ACT 66,Railway Station,5.0,43.0,male,,Under Investigation,low,22.44233115378233,88.36958742846045
FIR12592016,28-12-2016,2016,Mumbai,Maharashtra,ROBBERY,armed robbery,Sec 392,Office,25.0,51.0,M,n,CONVICTED,HIGH,,
fir/nag/2017/2488,31/07/2017 01:10:00,2017,Nagpur,Maharashtra,THEFT,SHOPLIFTING,IPC-378,HIGHWAY,17.0,10.0,Male,n,charge sheeted,Low,21.22810613217566,78.96089015598099
MUM-2017-8826,09/02/2017 20:02:00,2017,Mumbai,Maharashtra,HUMAN TRAFFICKING,Sex Trafficking,IPC 370,STREET,49.0,11.0,,YES,under investigation,High,19.030181487186546,72.9395090879751
IND-2023-7641,2023-09-02 05:29:00,2023,Indore,Madhya Pradesh,FRAUD/CHEATING,online fraud,IPC-420,Office,43.0,28.0,F,y,PENDING TRIAL,Low,22.784650687327822,75.81532533674006
7072/2019,23/03/2019 09:08:00,2019,Lucknow,Uttar Pradesh,ASSAULT,Simple Assault,IPC 352,HIGHWAY,46.0,64.0,m,No,,Medium,26.941094740994842,80.84198707112546
3882/2018,07/02/2018 14:13:00,2018,Hyderabad,Telangana,ASSAULT,SIMPLE ASSAULT,IPC 351,,43.0,59.0,male,,CONVICTED,Medium,17.379318316342317,78.57280524620853
BAN-2018-5751,26/05/2018 15:33:00,2018,Bangalore,Karnataka,ROBBERY,armed robbery,IPC 392,Bank,15.0,59.0,Female,yes,closed,HIGH,13.112530416623919,77.68091402686184
6497/2015,2015-09-20 08:14:00,2015,Bhopal,Madhya Pradesh,RIOTING,communal riot,ipc 147,RAILWAY STATION,21.0,33.0,FEMALE,False,closed,Medium,23.306555197440968,77.30271569501065
FIR80442017,27 March 2017 09:38 PM,2017,Kochi,Kerala,ROBBERY,armed robbery,ipc 392,School,16.0,55.0,female,,under investigation,HIGH,10.00911285040366,76.23077741262219
FIR42292021,16/05/21 13:20,2021,Bangalore,Karnataka,FRAUD/CHEATING,Bank Fraud,IPC-420,,49.0,12.0,female,NO,UNDER INVESTIGATION,Low,12.9584027959611,77.57291254846142
3317/2017,24/12/17 21:36,2017,Kolkata,West Bengal,THEFT,shoplifting,378,BANK,6.0,60.0,,Y,CLOSED,Low,22.62876553235357,88.26977847981938
fir/sur/2017/1738,03/03/2017 11:33:00,2017,Surat,Gujarat,DOMESTIC VIOLENCE,physical abuse,Sec 498A,RAILWAY STATION,20.0,,Female,No,CHARGE SHEETED,MEDIUM,21.198961346563138,72.89049676339333
KOL-2018-6586,01/21/2018 14:17:00,2018,Kolkata,West Bengal,THEFT,SHOPLIFTING,ipc 378,RESIDENCE,48.0,,FEMALE,,charge sheeted,Low,22.698410598288817,88.37207330556845
fir/ban/2018/2393,2018-01-08 20:14:00,2018,Bangalore,Karnataka,HUMAN TRAFFICKING,LABOUR TRAFFICKING,ITPA Act,,14.0,36.0,MALE,N,PENDING TRIAL,High,12.935619270640197,77.71325014213221
6097/2017,2017-04-18 23:39:00,2017,Bangalore,Karnataka,THEFT,SHOPLIFTING,378 IPC,Market,46.0,60.0,MALE,N,CLOSED,Low,13.005271526455024,77.44943916101059
HYD-2016-4711,05/10/2016 08:09:00,2016,Hyderabad,Telangana,ASSAULT,simple assault,IPC 351,Bank,1.0,70.0,Male,Yes,Charge Sheeted,Medium,17.531370384606607,78.36285956994918
PUN-2015-1036,04 August 2015 11:18 PM,2015,Pune,Maharashtra,BURGLARY,House Breaking,ipc 457,BANK,17.0,49.0,female,n,,Medium,18.65647639730244,73.88015648442882
fir/ind/2023/9818,03/15/2023 00:46:00,2023,Indore,Madhya Pradesh,FRAUD/CHEATING,online fraud,IPC-420,Railway Station,15.0,66.0,Male,N,Acquitted,Low,22.725924190173494,75.98894481380228
FIR/JAI/2016/7645,06/10/16 18:05,2016,Jaipur,Rajasthan,BURGLARY,house breaking,Sec. 457,HIGHWAY,16.0,74.0,female,No,PENDING TRIAL,Medium,26.78858916849714,75.90087211560376
FIR/BAN/2020/4380,14 November 2020 09:48 AM,2020,Bangalore,Karnataka,ASSAULT,Simple Assault,ipc 351,street,34.0,33.0,Male,,CHARGE SHEETED,Medium,12.865671455213562,77.49144890736791
fir/pun/2020/6588,21 April 2020 10:01 AM,2020,Pune,Maharashtra,EXTORTION,Online Extortion,ipc 383,RAILWAY STATION,28.0,,male,NO,UNDER INVESTIGATION,medium,18.54552600936849,73.77533737680635
PUN-2016-4531,19-10-2016,2016,Pune,Maharashtra,ASSAULT,Simple Assault,Sec. 351,SCHOOL,41.0,6.0,,N,Charge Sheeted,Medium,18.514532951634525,73.72198729635262
CHE-2018-5311,17/01/2018 11:22:00,2018,Chennai,Tamil Nadu,ATTEMPT TO MURDER,Stabbing,ipc 307,Residence,32.0,53.0,MALE,,closed,high,,
FIR/NAG/2021/2325,23/11/21 10:33,2021,Nagpur,Maharashtra,THEFT,CHAIN SNATCHING,IPC-378,RESIDENCE,35.0,73.0,Male,FALSE,CONVICTED,Low,21.137100663834403,79.08540197124367
KOL-2015-5541,20/09/15 06:23,2015,Kolkata,West Bengal,DOMESTIC VIOLENCE,DOWRY HARASSMENT,ipc 498a,Bank,42.0,13.0,Male,no,Convicted,MEDIUM,,
3962/2015,01/28/2015 12:18:00,2015,Pune,Maharashtra,FRAUD/CHEATING,Online Fraud,420,Office,49.0,36.0,Male,,Charge Sheeted,Low,18.51309042093005,73.815464504933
4397/2018,13/04/18 23:52,2018,Lucknow,Uttar Pradesh,THEFT,Mobile Theft,378,MARKET,34.0,46.0,Male,N,Acquitted,Low,,
7287/2021,01/12/2021 05:04:00,2021,Kolkata,West Bengal,THEFT,SHOPLIFTING,378,HIGHWAY,49.0,20.0,f,Yes,Closed,Low,22.547485696452547,88.35870211841736
DEL-2015-5731,22-08-2015,2015,Delhi,Delhi,ATTEMPT TO MURDER,Shooting,Sec 307,Bank,34.0,63.0,FEMALE,No,Pending Trial,high,28.67933441498111,77.17320524293947
